gene_symbol	GSM121470	GSM121471	GSM121472	GSM121473	GSM121490	GSM121491	GSM121492	GSM121493	GSM121494	GSM121495	GSM121496	GSM121497	GSM121498	GSM121499	GSM121474	GSM121475	GSM121476	GSM121477	GSM121478	GSM121479	GSM121480	GSM121481	GSM121482	GSM121483	GSM121484	GSM121485	GSM121486	GSM121487	GSM121488	GSM121489
ZCCHC6	272.3205514	235.6254992	273.0724968	233.4038837	339.2666586	393.8215802	264.3394147	217.3325758	293.4536644	300.597926	273.0828141	225.0954482	272.2719409	224.3597257	244.6565848	230.4861799	271.8819284	218.4410939	273.6711416	211.7756736	241.1647728	227.4958793	254.5734186	168.3496164	255.2178033	188.8540365	218.4124343	174.3375723	212.1609522	192.3989696
ZC4H2	104.7501252	51.26916767	44.77828469	36.11389064	63.77612801	59.89299366	77.15922032	48.61721731	42.44493191	58.67890246	59.20661805	40.84943506	70.8635269	38.98922139	86.56757501	38.49933868	56.2111428	40.36600266	41.63375204	33.62200454	85.02484027	58.11054251	77.30872915	53.82543917	86.86781196	34.21366003	0	28.53504722	56.24430702	34.30745003
ZC3HAV1	174.3323864	155.7154756	249.0587805	228.9691838	113.305166	123.3336356	247.6895109	199.9098062	382.3921622	328.6393168	332.2298423	275.3974713	235.5280268	212.5536057	251.5689328	295.9847571	329.7609099	337.7514588	283.7876813	213.7307743	168.2337012	194.7364726	281.5742204	209.1793224	303.4429634	232.1041279	293.329744	274.7607341	280.3894973	205.5552957
ZC3H11A	462.7025925	263.4946592	203.596821	184.5332201	215.7612028	208.8348141	232.8439257	207.2525141	351.9814004	329.1125338	352.2847521	258.167822	271.0027737	193.6482842	224.0818501	150.6576398	341.0104075	336.0095838	282.7450477	221.3897706	229.1164634	185.6908696	401.63458	239.9589946	253.8935334	240.0779233	42.63420088	199.9122364	262.1411	216.6134396
ZBTB7C	44.76545221	0	28.28305771	22.13095114	42.54848219	31.91835094	26.84575064	23.75235752	38.93195326	40.67365456	0	20.62393462	32.98725324	16.30228096	42.5387248	17.69627091	17.31779185	5.345429572	25.91875162	15.22817774	26.88797922	19.5857802	46.93336864	21.08629918	31.97434244	19.99285287	21.76364684	10.76396445	20.90368312	14.1518774
ZBTB48	490.059314	346.4448811	326.6379855	246.4033758	405.779677	319.8940874	358.1466091	182.4619498	343.2301729	229.102731	400.0244111	319.9753623	260.8318734	188.0373267	328.3878781	227.8021202	288.320706	235.5488915	252.4696236	215.0975225	324.6511747	182.8971165	398.8188378	240.9322306	372.5921246	240.4039593	362.6308177	271.3845505	286.2991361	208.3306844
ZBTB46	81.53747153	63.34387949	54.01901566	67.63352502	171.3285239	206.2248958	108.353668	67.17757598	62.65195315	82.06699324	104.5743668	87.76535183	140.7952836	111.3613286	110.7708797	75.50763494	85.43533721	75.91021516	114.0466725	90.69350236	105.1601197	83.00628788	91.63580307	60.80125999	62.92227508	26.1768042	178.1910481	26.21886227	113.395897	91.04374461
ZBTB32	2.681693945	0	63.98887087	52.11304237	165.2769616	145.4821207	76.12004864	64.36206722	59.98682155	38.2418452	54.80748407	34.95471237	82.2786362	58.92152374	74.50810466	62.45321932	53.78005597	41.98672722	39.16709704	34.86639619	92.74973102	65.82187522	77.50222118	29.15376159	61.49603505	43.68748958	31.96393797	37.31956664	39.73378339	28.18799302
ZBTB17	43.01749007	24.21727618	55.58170102	50.82595437	24.36642053	22.4950375	50.89625491	31.95380526	64.28520889	39.13569945	65.4787432	41.02236251	60.47539845	45.04387893	58.4349242	33.60347432	44.64530778	42.83747299	54.15316511	35.64349014	72.05617948	55.5257427	45.99767585	30.45766682	59.79340232	48.07488834	74.7782215	35.70321506	71.55814327	60.38713166
ZBTB1	103.5530851	86.97681374	79.27920554	59.53869883	34.44498013	19.68883661	75.54691218	66.13840431	77.15736732	84.62367929	106.1096821	100.0981165	132.2254012	63.063649	33.51727629	67.41419069	133.2090203	79.80453089	115.5175538	65.87465759	79.75076403	41.76274046	97.38858099	74.53630606	75.64438976	49.99756186	118.7315644	49.21819818	126.9646244	65.90173338
ZBED4	478.5537532	340.281441	205.0086531	217.3351074	210.1884071	268.8716707	272.107633	271.3106453	592.4446245	592.723954	476.115992	489.6090064	333.6412101	310.2804002	220.2368681	217.5060413	439.583844	416.6406303	487.2470178	399.091762	287.2373738	240.210925	553.4016408	401.1638457	250.6747659	235.9253242	294.411704	258.0979648	219.7867594	200.3995555
ZAP70	35.50611394	22.48146673	44.26867133	39.08357302	20.36446821	25.84116122	44.71622282	22.86563629	49.00095848	44.57440821	31.17951931	15.61371244	42.07663455	35.2473506	30.03084133	32.90472012	27.45270478	33.72157044	39.26992857	19.57443686	54.2321465	33.61994317	24.49406923	6.233620048	44.86282943	30.23011663	38.32246594	29.1367868	39.80468748	29.44111427
ZAK	31.63851984	29.19380338	68.07061275	21.67645725	38.85580606	53.54496886	64.57433998	29.0167221	28.56718745	60.34502049	39.16222405	45.09784174	61.48296741	0	31.21652266	12.16859337	46.44910421	37.46377497	25.27963415	37.714439	42.06580246	47.62619254	46.80341131	21.67832703	37.89934333	28.1410708	49.1508502	35.54216554	49.5055245	62.82102305
